year,month,day,time,where,area
2019,04,04,14:45,인제,345
2019,01,24,15:48,인제,1
2017,03,22,16:38,인제,0.01
2016,06,05,10:46,인제,0.1
2016,06,03,11:45,인제,0.1
2016,04,26,12:35,인제,0.09
2016,02,23,13:40,인제,1
2015,12,19,20:04,인제,0.01
2015,06,12,13:40,인제,0.1
2015,06,10,15:03,인제,0.25
2015,06,09,17:03,인제,0.01
2015,06,03,13:50,인제,0.5
2015,04,03,14:37,인제,0.01
2015,03,02,16:17,인제,0.01
2014,06,15,14:10,인제,0.05
2014,05,11,16:36,인제,0.03
2014,04,22,10:35,인제,0.05
2011,04,17,12:40,인제,0.3
2010,12,07,11:20,인제,0.04
2010,06,09,04:40,인제,0.1
2010,05,15,15:07,인제,0.3
2009,04,14,14:18,인제,0.1
2009,04,12,13:00,인제,0.1
2009,02,08,16:50,인제,1.6
2008,11,06,11:40,인제,0.05
2008,04,21,13:20,인제,0.1
2008,04,18,13:20,인제,1
2007,05,09,10:50,인제,0.2
2007,04,28,22:30,인제,0.7
2007,02,27,15:50,인제,0.3
2005,04,26,10:50,인제,0.5
2004,04,11,13:33,인제,43.2
2003,04,16,14:05,인제,0.3
