when,city,district,firearea,prec,minhumi,maxtemp,maxwindv
2019-04-17 13:00,강원,영월,0.2,0,11,23.1,3.5
2019-04-07 10:00,강원,영월,0.3,0,16,20,2.3
2018-02-11 13:00,강원,영월,0.2,0,20,-2.9,7.2
2017-04-23 13:00,강원,영월,0.2,0,18,21.1,4.4
2017-04-08 13:00,강원,영월,0.3,0,29,24.1,2.9
2017-03-19 14:00,강원,영월,0.2,0,10,19,2.5
2017-03-13 15:00,강원,영월,0.3,0,20,13.8,2.7
2016-04-02 15:00,강원,영월,1,0,10,23.6,3.5
2016-03-16 11:00,강원,영월,0.02,0,14,15,3.7
2016-02-26 15:00,강원,영월,0.05,0,16,6.6,4.5
2015-03-22 13:00,강원,영월,0.1,0,11,15.4,8
2015-02-12 11:00,강원,영월,1,0,22,3,6.4
2014-04-26 13:00,강원,영월,0.1,0,25,24.2,3
2014-04-24 18:00,강원,영월,0.9,0,18,26.5,3.1
2014-04-24 12:00,강원,영월,1,0,18,26.5,3.1
2014-04-21 13:00,강원,영월,0.1,0,21,22,4
2014-04-09 14:00,강원,영월,1.42,0,22,23.4,4
2014-03-07 11:00,강원,영월,2,0,16,5.4,5.9
2012-04-20 17:00,강원,영월,0.05,0,31,22.9,4.4
2012-04-17 15:00,강원,영월,0.1,0,23,20.8,2.9
2011-04-13 16:00,강원,영월,0.15,0,14,20.1,3.7
2011-03-14 19:00,강원,영월,0.1,0,49,14.9,2.9
2011-03-09 13:00,강원,영월,0.32,0,17,5.2,4.7
2009-04-18 16:00,강원,영월,0.4,0,14,25.8,3.3
2008-04-20 21:00,강원,영월,1,0,15,25.8,7.2
2008-04-08 14:00,강원,영월,0.2,0,11,24,4.8
2004-04-12 12:00,강원,영월,0.3,0,19,24.6,5.1
